ID,Year,Title,Authors,Journal,Volume,Issue,Page start,Page end,Document Type,Abstract,Species,Cell Type,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,total
194,2009,Oct4 and LIF/Stat3 Additively Induce Krôppel Factors to Sustain Embryonic Stem Cell Self-Renewal,"Hall, J. # Guo, G. # Wray, J. # Eyres, I. # Nichols, J. # Grotewold, L. # Morfopoulou, S. # Humphreys, P. # Mansfield, W. # Walker, R. # Tomlinson, S. # Smith, A. #",Cell Stem Cell,5,6,597,609,Article,"Embryonic stem cell (ESC) pluripotency is dependent on an intrinsic gene regulatory network centered on Oct4. Propagation of the pluripotent state is stimulated by the cytokine leukemia inhibitory factor (LIF) acting through the transcriptional regulator Stat3. Here, we show that this extrinsic stimulus converges with the intrinsic circuitry in Krôppel-factor activation. Oct4 primarily induces Klf2 while LIF/Stat3 selectively enhances Klf4 expression. Overexpression of either factor reduces LIF dependence, but with quantitative and qualitative differences. Unlike Klf4, Klf2 increases ESC clonogenicity, maintains undifferentiated ESCs in the genetic absence of Stat3, and confers resistance to BMP-induced differentiation. ESCs expanded with Klf2 remain capable of contributing to adult chimeras. Postimplantation-embryo-derived EpiSCs lack both Klf2 and Klf4 and expression of either can reinstate naive pluripotency. These findings indicate that Oct4 and Stat3 intersect in directing expression of Klf transcriptional regulators with overlapping properties that additively reinforce ground-state ESC pluripotency, identity, and self-renewal. © 2009 Elsevier Inc. All rights reserved.",Mouse,Embryonic stem cell,0,0,0,21,35,37,28,22,22,16,181
195,2009,SKPs Derive from Hair Follicle Precursors and Exhibit Properties of Adult Dermal Stem Cells,"Biernaskie, J. # Paris, M. # Morozova, O. # Fagan, B.M. # Marra, M. # Pevny, L. # Miller, F.D. #",Cell Stem Cell,5,6,610,623,Article,"Despite the remarkable regenerative capacity of mammalian skin, an adult dermal stem cell has not yet been identified. Here, we investigated whether skin-derived precursors (SKPs) might fulfill such a role. We show that SKPs derive from Sox2+ hair follicle dermal cells and that these two cell populations are similar with regard to their transcriptome and functional properties. Both clonal SKPs and endogenous Sox2+ cells induce hair morphogenesis, differentiate into dermal cell types, and home to a hair follicle niche upon transplantation. Moreover, hair follicle-derived SKPs self-renew, maintain their multipotency, and serially reconstitute hair follicles. Finally, grafting experiments show that follicle-associated dermal cells move out of their niche to contribute cells for dermal maintenance and wound-healing. Thus, SKPs derive from Sox2+ follicle-associated dermal precursors and display functional properties predicted of a dermal stem cell, contributing to dermal maintenance, wound-healing, and hair follicle morphogenesis. © 2009 Elsevier Inc. All rights reserved.",Mouse,Tissue stem cell,0,0,1,10,18,39,30,22,21,20,161
196,2009,Imbalance between GABAergic and Glutamatergic Transmission Impairs Adult Neurogenesis in an Animal Model of Alzheimer's Disease,"Sun, B. # Halabisky, B. # Zhou, Y. # Palop, J.J. # Yu, G. # Mucke, L. # Gan, L. #",Cell Stem Cell,5,6,624,633,Article,"Adult neurogenesis regulates plasticity and function in the hippocampus, which is critical for memory and vulnerable to Alzheimer's disease (AD). Promoting neurogenesis may improve hippocampal function in AD brains. However, how amyloid _ (A_), the key AD pathogen, affects the development and function of adult-born neurons remains unknown. Adult-born granule cells (GCs) in human amyloid precursor protein (hAPP) transgenic mice, an AD model, showed greater dendritic length, spine density, and functional responses than did controls early in development, but were impaired morphologically and functionally during later maturation. Early_inhibition of GABAA receptors to suppress GABAergic signaling or late inhibition of calcineurin to enhance glutamatergic signaling normalized the development of adult-born GCs in hAPP mice with high A_ levels. A_-induced increases in GABAergic neurotransmission or an imbalance between GABAergic and glutamatergic neurotransmission may contribute to impaired neurogenesis in AD. © 2009 Elsevier Inc. All rights reserved.",Mouse,Neural stem cell,0,0,1,6,8,11,16,11,9,16,78
197,2009,GABAergic Interneuron Dysfunction Impairs Hippocampal Neurogenesis in Adult Apolipoprotein E4 Knockin Mice,"Li, G. # Bien-Ly, N. # Andrews-Zwilling, Y. # Xu, Q. # Bernardo, A. # Ring, K. # Halabisky, B. # Deng, C. # Mahley, R.W. # Huang, Y. #",Cell Stem Cell,5,6,634,645,Article,"Apolipoprotein (apo) E, a polymorphic protein with three isoforms (apoE2, apoE3, and apoE4), is essential for lipid homeostasis. Carriers of apoE4 are at higher risk for developing Alzheimer's disease. We have investigated adult neurogenesis in mice with knockout (KO) for apoE or with knockin (KI) alleles for human apoE3 or apoE4, and we report that neurogenesis is reduced in both apoE-KO and apoE4-KI mice. In apoE-KO mice, increased BMP signaling promoted glial differentiation at the expense of neurogenesis. In contrast, in apoE4-KI mice, presynaptic GABAergic input-mediated maturation of newborn neurons was diminished. Tau phosphorylation, an Alzheimer's disease characteristic, and levels of neurotoxic apoE fragments were both elevated in apoE4-KI hippocampal neurons concomitant with decreased GABAergic interneuron survival. Potentiating GABAergic signaling restored neuronal maturation and neurogenesis in apoE4-KI mice to normal levels. These findings suggest that GABAergic signaling can be targeted to mitigate the deleterious effects of apoE4 on neurogenesis. © 2009 Elsevier Inc. All rights reserved.",Mouse,Neural stem cell,0,0,1,6,10,10,18,16,10,19,90
198,2009,Wnt1-lmx1a Forms a Novel Autoregulatory Loop and Controls Midbrain Dopaminergic Differentiation Synergistically with the SHH-FoxA2 Pathway,"Chung, S. # Leung, A. # Han, B.-S. # Chang, M.-Y. # Moon, J.-I. # Kim, C.-H. # Hong, S. # Pruszak, J. # Isacson, O. # Kim, K.-S. #",Cell Stem Cell,5,6,646,658,Article,"Selective degeneration of midbrain dopaminergic (mDA) neurons is associated with Parkinson's disease (PD), and thus an in-depth understanding of molecular pathways underlying mDA development will be crucial for optimal bioassays and cell replacement therapy for PD. In this study, we identified_a novel Wnt1-Lmx1a autoregulatory loop during mDA differentiation of ESCs and confirmed its in_vivo presence during embryonic development. We found that the Wnt1-Lmx1a autoregulatory loop directly regulates Otx2 through the _-catenin complex and Nurr1 and Pitx3 through Lmx1a. We also found that Lmx1a and Lmx1b cooperatively regulate mDA differentiation with overlapping and cross-regulatory functions. Furthermore, coactivation of both Wnt1 and SHH pathways by exogenous expression of Lmx1a, Otx2, and FoxA2 synergistically enhanced the differentiation of ESCs to mDA neurons. Together with previous works, this study shows that two regulatory loops (Wnt1-Lmx1a and SHH-FoxA2) critically link extrinsic signals to cell-intrinsic factors and cooperatively regulate mDA neuron development. © 2009 Elsevier Inc. All rights reserved.",Mouse,Embryonic stem cell,0,0,0,4,15,14,19,17,16,9,94
199,2009,Cited2 Is an Essential Regulator of Adult Hematopoietic Stem Cells,"Kranc, K.R. # Schepers, H. # Rodrigues, N.P. # Bamforth, S. # Villadsen, E. # Ferry, H. # Bouriez-Jones, T. # Sigvardsson, M. # Bhattacharya, S. # Jacobsen, S.E. # Enver, T. #",Cell Stem Cell,5,6,659,665,Article,"The regulatory pathways necessary for the maintenance of adult hematopoietic stem cells (HSCs) remain poorly defined. By using loss-of-function approaches, we report a selective and cell-autonomous requirement for the p300/CBP-binding transcriptional coactivator Cited2 in adult HSC maintenance. Conditional deletion of Cited2 in the adult mouse results in loss of HSCs causing multilineage bone marrow failure and increased lethality. In contrast, conditional ablation of Cited2 after lineage specification in lymphoid and myeloid lineages has no impact on the maintenance of these lineages. Additional deletion of Ink4a/Arf (encoding p16Ink4a and p19Arf) or Trp53 (encoding p53, a downstream target of p19Arf) in a Cited2-deficient background restores HSC functionality and rescues mice from bone marrow failure. Furthermore, we show that the critical role of Cited2 in primitive hematopoietic cells is conserved in humans. Taken together, our studies provide genetic evidence that Cited2 selectively maintains adult HSC functions, at least in part, via Ink4a/Arf and Trp53. © 2009 Elsevier Inc. All rights reserved.",Mouse,Hematopoietic stem cell,0,0,0,4,6,12,9,5,8,6,50
200,2010,Rest Promotes the Early Differentiation of Mouse ESCs but Is Not Required for Their Maintenance,"Yamada, Y. # Aoki, H. # Kunisada, T. # Hara, A. #",Cell Stem Cell,6,1,10,15,Letter,"The functional significance of Rest in the_maintenance of ESC pluripotency remains controversial. We herein showed that Rest is not necessary for the maintenance of mouse ESCs, and instead suggested that the Rest transcriptional repressor connects to the Oct3/4-Sox2-Nanog core regulatory circuitry during early ESC differentiation.",Mouse,Embryonic stem cell,0,0,0,2,8,9,4,4,9,2,38
201,2010,Lgr5+ve Stem Cells Drive Self-Renewal in the Stomach and Build Long-Lived Gastric Units In Vitro,"Barker, N. # Huch, M. # Kujala, P. # van de Wetering, M. # Snippert, H.J. # van Es, J.H. # Sato, T. # Stange, D.E. # Begthel, H. # van den Born, M. # Danenberg, E. # van den Brink, S. # Korving, J. # Abo, A. # Peters, P.J. # Wright, N. # Poulsom, R. # Clevers, H. #",Cell Stem Cell,6,1,25,36,Article,"The study of gastric epithelial homeostasis and cancer has been hampered by the lack of stem cell markers and in_vitro culture methods. The Wnt target gene Lgr5 marks stem cells in the small intestine, colon, and hair follicle. Here, we investigated Lgr5 expression in the stomach and assessed the stem cell potential of the Lgr5+ve cells by using in_vivo lineage tracing. In neonatal stomach, Lgr5 was expressed at the base of prospective corpus and pyloric glands, whereas expression in the adult was predominantly restricted to the base of mature pyloric glands. Lineage tracing revealed these Lgr5+ve cells to be self-renewing, multipotent stem cells responsible for the long-term renewal of the gastric epithelium. With an in_vitro culture system, single Lgr5+ve cells efficiently generated long-lived organoids resembling mature pyloric epithelium. The Lgr5 stem cell marker and culture method described here will be invaluable tools_for accelerating research into gastric epithelial renewal, inflammation/infection, and cancer. © 2010 Elsevier Inc. All rights reserved.",Mouse,Tissue stem cell,0,0,0,22,45,71,75,73,84,106,476
202,2010,An RNAi Screen Identifies TRRAP as a Regulator of Brain Tumor-Initiating Cell Differentiation,"Wurdak, H. # Zhu, S. # Romero, A. # Lorger, M. # Watson, J. # Chiang, C.-y. # Zhang, J. # Natu, V.S. # Lairson, L.L. # Walker, J.R. # Trussell, C.M. # Harsh, G.R. # Vogel, H. # Felding-Habermann, B. # Orth, A.P. # Miraglia, L.J. # Rines, D.R. # Skirboll, S.L. # Schultz, P.G. #",Cell Stem Cell,6,1,37,47,Article,"Glioblastoma multiforme (GBM) is a highly aggressive form of brain cancer associated with a very poor prognosis. Recently, the initiation and growth of GBM has been linked to brain tumor-initiating cells (BTICs), which are poorly differentiated and share features with neural stem cells (NSCs). Here we describe a kinome-wide RNA interference screen to identify factors that control the tumorigenicity of BTICs. We identified several genes whose silencing induces differentiation of BTICs derived from multiple GBM patients. In particular, knockdown of the adaptor protein TRRAP significantly increased differentiation of cultured BTICs, sensitized the cells to apoptotic stimuli, and negatively affected cell cycle progression. TRRAP knockdown also significantly suppressed tumor formation upon intracranial BTIC implantation into mice. Together, these findings support a critical role for TRRAP in maintaining a tumorigenic, stem cell-like state. © 2010 Elsevier Inc. All rights reserved.",Human,Cancer stem cell,0,0,0,9,10,9,10,13,5,4,60
203,2010,Intermediate-Term Hematopoietic Stem Cells with Extended but Time-Limited Reconstitution Potential,"Benveniste, P. # Frelin, C. # Janmohamed, S. # Barbara, M. # Herrington, R. # Hyam, D. # Iscove, N.N. #",Cell Stem Cell,6,1,48,58,Article,"Sustained blood cell production depends on divisions by hematopoietic stem cells (HSCs) that yield both differentiating progeny as well as new HSCs via self-renewal. Differentiating progeny remain capable of self-renewal, but only HSCs sustain self-renewal through successive divisions securely enough to maintain clones that persist life-long. Until recently, the first identified next stage consisted of ""short-term"" reconstituting cells able to sustain clones of differentiating cells for only 4-6 weeks. Here we expand evidence for a numerically dominant ""intermediate-term"" multipotent HSC stage in mice whose clones persist for 6-8 months before becoming extinct and that are separable from both short-term as well as permanently reconstituting ""long-term"" HSCs. The findings suggest that the first step in stem cell differentiation consists not in loss of initial capacity for serial self-renewal divisions, but rather in loss of mechanisms that stabilize self-renewing behavior throughout successive future stem cell divisions. © 2010 Elsevier Inc. All rights reserved.",Mouse,Hematopoietic stem cell,0,0,0,9,17,17,19,20,10,7,99
204,2010,SIP1 Mediates Cell-Fate Decisions between Neuroectoderm and Mesendoderm in Human Pluripotent Stem Cells,"Chng, Z. # Teo, A. # Pedersen, R.A. # Vallier, L. #",Cell Stem Cell,6,1,59,70,Article,"Human embryonic stem cells (hESCs) rely on fibroblast growth factor and Activin-Nodal signaling to maintain their pluripotency. However, Activin-Nodal signaling is also known to induce mesendoderm differentiation. The mechanisms by which Activin-Nodal signaling can achieve these contradictory functions remain unknown. Here, we demonstrate that Smad-interacting protein 1 (SIP1) limits the mesendoderm-inducing effects of Activin-Nodal signaling without inhibiting the pluripotency-maintaining effects exerted by SMAD2/3. In turn, Activin-Nodal signaling cooperates with NANOG, OCT4, and SOX2 to control the expression of SIP1 in hESCs, thereby limiting the neuroectoderm-promoting effects of SIP1. Similar results were obtained with mouse epiblast stem cells, implying that these mechanisms are evolutionarily conserved and may operate in_vivo during mammalian development. Overall, our results reveal the mechanisms by which Activin-Nodal signaling acts through SIP1 to regulate the cell-fate decision between neuroectoderm and mesendoderm in the progression from pluripotency to primary germ layer differentiation. © 2010 Elsevier Inc. All rights reserved.",Human,Embryonic stem cell,0,0,0,4,12,12,15,8,8,2,61
205,2010,Vitamin C Enhances the Generation of Mouse and Human Induced Pluripotent Stem Cells,"Esteban, M.A. # Wang, T. # Qin, B. # Yang, J. # Qin, D. # Cai, J. # Li, W. # Weng, Z. # Chen, J. # Ni, S. # Chen, K. # Li, Y. # Liu, X. # Xu, J. # Zhang, S. # Li, F. # He, W. # Labuda, K. # Song, Y. # Peterbauer, A. # Wolbank, S. # Redl, H. # Zhong, M. # Cai, D. # Zeng, L. # Pei, D. #",Cell Stem Cell,6,1,71,79,Article,"Somatic cells can be reprogrammed into induced pluripotent stem cells (iPSCs) by defined factors. However, the low efficiency and slow kinetics of the reprogramming process have hampered progress with this technology. Here we report that a natural compound, vitamin C (Vc), enhances iPSC generation from both mouse and human somatic cells. Vc acts at least in part by alleviating cell senescence, a recently identified roadblock for reprogramming. In addition, Vc accelerates gene expression changes and promotes the transition of pre-iPSC colonies to a fully reprogrammed state. Our results therefore highlight a straightforward method for improving the speed and efficiency of iPSC generation and provide additional insights into the mechanistic basis of the reprogramming process. © 2010 Elsevier Inc. All rights reserved.","Human, Mouse",iPS cell,0,0,0,36,65,63,92,80,70,65,471
206,2010,Modeling Disease in Human ESCs Using an Efficient BAC-Based Homologous Recombination System,"Song, H. # Chung, S.-K. # Xu, Y. #",Cell Stem Cell,6,1,80,89,Article,"Although mouse models have been valuable for studying human disease, the cellular and physiological differences between mouse and human have made it increasingly important to develop more relevant human disease models for mechanistic studies and drug discovery. Human embryonic stem cells (hESCs), which can undergo unlimited self-renewal and retain the potential to differentiate into all cell types, present a possible solution. To improve the efficiency of genetic manipulation of hESCs, we have developed bacterial artificial chromosome (BAC) based approach that enables high efficiency homologous recombination. By sequentially disrupting both alleles of ATM or p53 with BAC targeting vectors, we have established ATM -/- and p53 -/- hESCs as models for two major human genetic instability syndromes and used the generated cells to reveal the importance of p53 in maintaining genome stability of hESCs. Our findings suggest that it will be feasible to develop genetically modified hESCs as relevant human disease models. © 2010 Elsevier Inc. All rights reserved.",Human,Embryonic stem cell,0,0,0,12,23,23,15,22,7,11,113
207,2010,Sprouty1 Regulates Reversible Quiescence of a Self-Renewing Adult Muscle Stem Cell Pool during Regeneration,"Shea, K.L. # Xiang, W. # LaPorta, V.S. # Licht, J.D. # Keller, C. # Basson, M.A. # Brack, A.S. #",Cell Stem Cell,6,2,117,129,Article,"Satellite cells are skeletal muscle stem cells capable of self-renewal and differentiation after transplantation, but whether they contribute to endogenous muscle fiber repair has been unclear. The transcription factor Pax7 marks satellite cells and is critical for establishing the adult satellite cell pool. By using a lineage tracing approach, we show that after injury, quiescent adult Pax7+ cells enter the cell cycle;_a subpopulation returns to quiescence to replenish the satellite cell compartment, while others contribute to muscle fiber formation. We demonstrate that Sprouty1 (Spry1), a receptor tyrosine kinase signaling inhibitor, is expressed in quiescent Pax7+ satellite cells in uninjured muscle, downregulated in proliferating myogenic cells after injury, and reinduced as Pax7+ cells re-enter quiescence. We show that Spry1 is required for the return to quiescence and homeostasis of the satellite cell pool during repair. Our results therefore define a role for Spry1 in adult muscle stem cell biology and tissue repair. © 2010 Elsevier Inc. All rights reserved.",Mouse,Tissue stem cell,0,0,0,5,11,20,16,17,17,19,105
208,2010,Key Roles for Transforming Growth Factor _ in Melanocyte Stem Cell Maintenance,"Nishimura, E.K. # Suzuki, M. # Igras, V. # Du, J. # Lonning, S. # Miyachi, Y. # Roes, J. # Beermann, F. # Fisher, D.E. #",Cell Stem Cell,6,2,130,140,Article,"Melanocyte stem cells in the bulge area of hair follicles are responsible for hair pigmentation, and defects in them cause hair graying. Here we describe the process of melanocyte stem cell entry into the quiescent state and show that niche-derived transforming growth factor _ (TGF-_) signaling plays important roles in this process. In vitro, TGF-_ not only induces reversible cell cycle arrest, but also promotes melanocyte immaturity by downregulating MITF, the master transcriptional regulator of melanocyte differentiation, and its downstream melanogenic genes. In vivo, TGF-_ signaling is activated in melanocyte stem cells when they reenter the quiescent noncycling state during the hair cycle and this process requires Bcl2 for cell survival. Furthermore, targeted TGF-_ type II receptor (TGFbRII) deficiency in the melanocyte lineage causes incomplete maintenance of melanocyte stem cell immaturity and results in mild hair graying. These data demonstrate that the TGF-_ signaling pathway is one of the key niche factors that regulate melanocyte stem cell immaturity and quiescence. © 2010 Elsevier Inc. All rights reserved.",Mouse,Tissue stem cell,0,0,0,5,12,14,18,16,13,15,93
209,2010,Perivascular Nitric Oxide Activates Notch Signaling and Promotes Stem-like Character in PDGF-Induced Glioma Cells,"Charles, N. # Ozawa, T. # Squatrito, M. # Bleau, A.-M. # Brennan, C.W. # Hambardzumyan, D. # Holland, E.C. #",Cell Stem Cell,6,2,141,152,Article,"eNOS expression is elevated in human glioblastomas and correlated with increased tumor growth and aggressive character. We investigated the potential role of nitric oxide (NO) activity in the perivascular niche (PVN) using a genetic engineered mouse model_of PDGF-induced gliomas. eNOS expression is highly elevated in tumor vascular endothelium adjacent to perivascular glioma cells expressing Nestin, Notch, and the NO receptor, sGC. In addition, the NO/cGMP/PKG pathway drives Notch signaling in PDGF-induced gliomas in_vitro, and induces the side population phenotype in primary glioma cell cultures. NO also increases neurosphere forming capacity of PDGF-driven glioma primary cultures, and enhances their tumorigenic capacity in_vivo. Loss of NO activity in these tumors suppresses Notch signaling in_vivo and prolongs survival of mice. This mechanism is conserved in human PDGFR amplified gliomas. The NO/cGMP/PKG pathway's promotion of stem cell-like character in the tumor PVN may identify therapeutic targets for this subset of gliomas. © 2010 Elsevier Inc. All rights reserved.",Mouse,Cancer stem cell,0,0,0,12,29,30,32,32,26,31,192
210,2010,Polycomb-like 2 Associates with PRC2 and Regulates Transcriptional Networks during Mouse Embryonic Stem Cell Self-Renewal and Differentiation,"Walker, E. # Chang, W.Y. # Hunkapiller, J. # Cagney, G. # Garcha, K. # Torchia, J. # Krogan, N.J. # Reiter, J.F. # Stanford, W.L. #",Cell Stem Cell,6,2,153,166,Article,"Polycomb group (PcG) proteins are conserved epigenetic transcriptional repressors that control numerous developmental gene expression programs and have recently been implicated in modulating embryonic stem cell (ESC) fate. We identified the PcG protein PCL2 (polycomb-like 2) in a genome-wide screen for regulators of self-renewal and pluripotency and predicted that it would play an important role in mouse ESC-fate determination. Using multiple biochemical strategies, we provide evidence that PCL2 is a Polycomb Repressive Complex 2 (PRC2)-associated protein in mouse ESCs. Knockdown of Pcl2 in ESCs resulted in heightened self-renewal characteristics, defects in differentiation, and altered patterns of histone methylation. Integration of global gene expression and promoter occupancy analyses allowed us to identify PCL2 and PRC2 transcriptional targets and draft regulatory networks. We describe the role of PCL2 in both modulating transcription of ESC self-renewal genes in undifferentiated ESCs as_well as developmental regulators during early commitment and differentiation. © 2010 Elsevier Inc. All rights reserved.",Mouse,Embryonic stem cell,0,0,0,7,21,18,18,12,13,10,99
211,2010,The Nuclear Receptor Nr5a2 Can Replace Oct4 in the Reprogramming of Murine Somatic Cells to Pluripotent Cells,"Heng, J.-C.D. # Feng, B. # Han, J. # Jiang, J. # Kraus, P. # Ng, J.-H. # Orlov, Y.L. # Huss, M. # Yang, L. # Lufkin, T. # Lim, B. # Ng, H.-H. #",Cell Stem Cell,6,2,167,174,Article,"Somatic cells can be reprogrammed to induced pluripotent stem cells (iPSCs) with the introduction of Oct4, Sox2, Klf4, and c-Myc. Among these four factors, Oct4 is critical in inducing pluripotency because no transcription factor can substitute for Oct4, whereas Sox2, Klf4, and c-Myc can be replaced by other factors. Here we show that the orphan nuclear receptor Nr5a2 (also known as Lrh-1) can replace Oct4 in the derivation of iPSCs from mouse somatic cells, and it can also enhance reprogramming efficiency. Sumoylation mutants of Nr5a2 with enhanced transcriptional activity can further increase reprogramming efficiency. Genome-wide location analysis reveals that Nr5a2 shares many common gene targets with Sox2 and Klf4, which suggests that the transcription factor trio works in concert to mediate reprogramming. We also show that Nr5a2 works in part through activating Nanog. Together, we show that unrelated transcription factors can replace Oct4 and uncovers an exogenous Oct4-free reprogramming code. © 2010 Elsevier Inc. All rights reserved.",Mouse,iPS cell,0,0,0,21,61,41,50,39,27,30,269
212,2010,Spindle Orientation Bias in Gut Epithelial Stem Cell Compartments Is Lost in Precancerous Tissue,"Quyn, A.J. # Appleton, P.L. # Carey, F.A. # Steele, R.J.C. # Barker, N. # Clevers, H. # Ridgway, R.A. # Sansom, O.J. # Näthke, I.S. #",Cell Stem Cell,6,2,175,181,Article,"The importance of asymmetric divisions for stem cell function and maintenance is well established in the developing nervous system and the skin; however, its role in gut epithelium and its importance for tumorigenesis is still debated. We demonstrate alignment of mitotic spindles perpendicular to the apical surface specifically in the stem cell compartments of mouse and human intestine and colon. This orientation correlates with the asymmetric retention of label-retaining DNA. Both the preference for perpendicular spindle alignment and asymmetric label retention are lost in precancerous tissue heterozygous for the adenomatous polyposis coli tumor suppressor (Apc). This loss correlates with cell shape changes specifically in the stem cell compartment. Our data suggest that loss of asymmetric division in stem cells might contribute to the oncogenic effect of Apc mutations in gut epithelium. © 2010 Elsevier Inc. All rights reserved.","Human, Mouse",Cancer stem cell,0,0,0,17,29,28,29,20,9,11,143
213,2010,Cadherin-Based Adhesion Is a Potential Target for Niche Manipulation to Protect Hematopoietic Stem Cells in Adult Bone Marrow,"Hosokawa, K. # Arai, F. # Yoshihara, H. # Iwasaki, H. # Hembree, M. # Yin, T. # Nakamura, Y. # Gomei, Y. # Takubo, K. # Shiama, H. # Matsuoka, S. # Li, L. # Suda, T. #",Cell Stem Cell,6,3,194,198,Letter,"During postnatal life, hematopoietic stem cells (HSCs) are maintained in specialized bone marrow (BM) niches. Cadherins are major cell adhesion molecules responsible for Ca2+-dependent cell-cell interaction, but the role of cadherin function, and more specifically N-cadherin, in HSC-niche interactions has been controversial. In this study, we analyzed the expression of various cadherin (cad) genes in long-term HSCs (LT-HSCs) and subpopulations of the cells isolated from the endosteum. We found that LT-HSCs expressed a low level of N-cad, whereas endosteal cell populations including mesenchymal progenitor cells (MPCs), immature OBs, and mature OBs expressed a variety of cadherins at different levels. We explored the influence of cadherin function on HSCs by expressing a dominant-negative mutant N-cad (DN-N-cad) and found that_it reduced the lodgment of HSCs (anchoring to the endosteal surface) and significantly inhibited their long-term engraftment. Meanwhile, overexpression of N-cadherin in HSCs promoted quiescence and maintained HSC activity during serial BM transplantation. These data suggest that enhanced cell adhesion may protect HSCs against various stresses and promote long-term maintenance of the HSC pool. Thus, manipulation of the signaling between stem cells and their niche through adhesive interactions could potentially form a basis of novel niche-related therapies for regenerative or cancer medicine.",Mouse,Hematopoietic stem cell,0,0,0,7,5,12,5,13,6,4,52
214,2010,Conserved and Divergent Roles of FGF Signaling in Mouse Epiblast Stem Cells and Human Embryonic Stem Cells,"Greber, B. # Wu, G. # Bernemann, C. # Joo, J.Y. # Han, D.W. # Ko, K. # Tapia, N. # Sabour, D. # Sterneckert, J. # Tesar, P. # Schoeler, H.R. #",Cell Stem Cell,6,3,215,226,Article,"Mouse epiblast stem cells (EpiSCs) are cultured with FGF2 and Activin A, like human embryonic stem cells (hESCs), but the action of the associated pathways in_EpiSCs has not been well characterized. Here, we show that activation of the Activin pathway promotes self-renewal of EpiSCs via direct activation of Nanog, whereas inhibition of this pathway induces neuroectodermal differentiation, like in hESCs. In contrast, the different roles of FGF signaling appear to be only partially conserved in the mouse. Our data suggest that FGF2 fails to cooperate with SMAD2/3 signaling in actively promoting EpiSC self-renewal through Nanog, in contrast to its role in hESCs. Rather, FGF appears to stabilize the epiblast state by dual inhibition of differentiation to neuroectoderm and of media-induced reversion to a mouse embryonic stem cell-like state. Our data extend the current model of cell fate decisions concerning EpiSCs by clarifying the distinct roles played by FGF signaling. © 2010 Elsevier Inc. All rights reserved.",Mouse,Embryonic stem cell,0,0,0,14,31,32,36,32,24,19,188
215,2010,G-CSF Promotes the Proliferation of Developing Cardiomyocytes In Vivo and in Derivation from ESCs and iPSCs,"Shimoji, K. # Yuasa, S. # Onizuka, T. # Hattori, F. # Tanaka, T. # Hara, M. # Ohno, Y. # Chen, H. # Egasgira, T. # Seki, T. # Yae, K. # Koshimizu, U. # Ogawa, S. # Fukuda, K. #",Cell Stem Cell,6,3,227,237,Article,"During a screen for humoral factors that promote cardiomyocyte differentiation from embryonic stem cells (ESCs), we found marked elevation of granulocyte colony-stimulating factor receptor (G-CSFR) mRNA in developing cardiomyocytes. We confirmed that both G-CSFR and G-CSF were specifically expressed in embryonic mouse heart at the midgestational stage, and expression levels were maintained throughout embryogenesis. Intrauterine G-CSF administration induced embryonic cardiomyocyte proliferation and caused hyperplasia. In contrast, approximately 50% of csf3r-/- mice died during late embryogenesis because of the thinning of atrioventricular walls. ESC-derived developing cardiomyocytes also strongly expressed G-CSFR. When extrinsic G-CSF was administered to the ESC- and human iPSC-derived cardiomyocytes, it markedly augmented their proliferation. Moreover, G-CSF-neutralizing antibody inhibited their proliferation. These findings indicated that G-CSF is critically involved in cardiomyocyte proliferation during development, and may be used to boost the yield of cardiomyocytes from ESCs for their potential application to regenerative medicine. © 2010 Elsevier Inc. All rights reserved.",Mouse,"iPS cell, Embryonic stem cell",0,0,0,5,9,15,13,10,12,5,69
216,2010,Embryonic MGE Precursor Cells Grafted into Adult Rat Striatum Integrate and Ameliorate Motor Symptoms in 6-OHDA-Lesioned Rats,"Martínez-Cerdeño, V. # Noctor, S.C. # Espinosa, A. # Ariza, J. # Parker, P. # Orasji, S. # Daadi, M.M. # Bankiewicz, K. # Alvarez-Buylla, A. # Kriegstein, A.R. #",Cell Stem Cell,6,3,238,250,Article,"We investigated a strategy to ameliorate the motor symptoms of rats that received 6-hydroxydopamine (6-OHDA) lesions, a rodent model of Parkinson's disease, through transplantation of embryonic_medial ganglionic eminence (MGE) cells into the striatum. During brain development, embryonic MGE cells migrate into the striatum and neocortex where they mature into GABAergic interneurons and play a key role in establishing the balance between excitation and inhibition. Unlike most other embryonic neurons, MGE cells retain the capacity for migration and integration when transplanted into the postnatal and adult brain. We performed MGE cell transplantation into the basal ganglia of control and 6-OHDA-lesioned rats. Transplanted MGE cells survived, differentiated into GABA+ neurons, integrated into host circuitry, and modifed motor behavior in both lesioned and control rats. Our data suggest that MGE cell transplantation into the striatum is_a promising approach to investigate the potential benefits of_remodeling basal ganglia circuitry in neurodegenerative diseases. © 2010 Elsevier Inc. All rights reserved.",Other,Neural stem cell,0,0,0,1,7,6,12,10,7,12,55
