"USE THESE AUTHORS																																																																																																																																																																												"
"Maherali	 N.	 #	 Sridharan	 R.	 #	 Xie	 W.	 #	 Utikal	 J.	 #	 Eminli	 S.	 #	 Arnold	 K.	 #	 Stadtfeld	 M.	 #	 Yachechko	 R.	 #	 Tchieu	 J.	 #	 Jaenisch	 R.	 #	 Plath	 K.	 #	 Hochedlinger	 K.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Nishimura	 E.K.	 #	 Suzuki	 M.	 #	 Igras	 V.	 #	 Du	 J.	 #	 Lonning	 S.	 #	 Miyachi	 Y.	 #	 Roes	 J.	 #	 Beermann	 F.	 #	 Fisher	 D.E.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Charles	 N.	 #	 Ozawa	 T.	 #	 Squatrito	 M.	 #	 Bleau	 A.-M.	 #	 Brennan	 C.W.	 #	 Hambardzumyan	 D.	 #	 Holland	 E.C.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Walker	 E.	 #	 Chang	 W.Y.	 #	 Hunkapiller	 J.	 #	 Cagney	 G.	 #	 Garcha	 K.	 #	 Torchia	 J.	 #	 Krogan	 N.J.	 #	 Reiter	 J.F.	 #	 Stanford	 W.L.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Heng	 J.-C.D.	 #	 Feng	 B.	 #	 Han	 J.	 #	 Jiang	 J.	 #	 Kraus	 P.	 #	 Ng	 J.-H.	 #	 Orlov	 Y.L.	 #	 Huss	 M.	 #	 Yang	 L.	 #	 Lufkin	 T.	 #	 Lim	 B.	 #	 Ng	 H.-H.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Quyn	 A.J.	 #	 Appleton	 P.L.	 #	 Carey	 F.A.	 #	 Steele	 R.J.C.	 #	 Barker	 N.	 #	 Clevers	 H.	 #	 Ridgway	 R.A.	 #	 Sansom	 O.J.	 #	 Näthke	 I.S.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Hosokawa	 K.	 #	 Arai	 F.	 #	 Yoshihara	 H.	 #	 Iwasaki	 H.	 #	 Hembree	 M.	 #	 Yin	 T.	 #	 Nakamura	 Y.	 #	 Gomei	 Y.	 #	 Takubo	 K.	 #	 Shiama	 H.	 #	 Matsuoka	 S.	 #	 Li	 L.	 #	 Suda	 T.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Greber	 B.	 #	 Wu	 G.	 #	 Bernemann	 C.	 #	 Joo	 J.Y.	 #	 Han	 D.W.	 #	 Ko	 K.	 #	 Tapia	 N.	 #	 Sabour	 D.	 #	 Sterneckert	 J.	 #	 Tesar	 P.	 #	 Schöler	 H.R.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Shimoji	 K.	 #	 Yuasa	 S.	 #	 Onizuka	 T.	 #	 Hattori	 F.	 #	 Tanaka	 T.	 #	 Hara	 M.	 #	 Ohno	 Y.	 #	 Chen	 H.	 #	 Egasgira	 T.	 #	 Seki	 T.	 #	 Yae	 K.	 #	 Koshimizu	 U.	 #	 Ogawa	 S.	 #	 Fukuda	 K.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Martínez-Cerdeño	 V.	 #	 Noctor	 S.C.	 #	 Espinosa	 A.	 #	 Ariza	 J.	 #	 Parker	 P.	 #	 Orasji	 S.	 #	 Daadi	 M.M.	 #	 Bankiewicz	 K.	 #	 Alvarez-Buylla	 A.	 #	 Kriegstein	 A.R.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Butler	 J.M.	 #	 Nolan	 D.J.	 #	 Vertes	 E.L.	 #	 Varnum-Finney	 B.	 #	 Kobayashi	 H.	 #	 Hooper	 A.T.	 #	 Seandel	 M.	 #	 Shido	 K.	 #	 White	 I.A.	 #	 Kobayashi	 M.	 #	 Witte	 L.	 #	 May	 C.	 #	 Shawber	 C.	 #	 Kimura	 Y.	 #	 Kitajewski	 J.	 #	 Rosenwaks	 Z.	 #	 Bernstein	 I.D.	 #	 Rafii	 S.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Challen	 G.A.	 #	 Boles	 N.C.	 #	 Chambers	 S.M.	 #	 Goodell	 M.A.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Oguro	 H.	 #	 Yuan	 J.	 #	 Ichikawa	 H.	 #	 Ikawa	 T.	 #	 Yamazaki	 S.	 #	 Kawamoto	 H.	 #	 Nakauchi	 H.	 #	 Iwama	 A.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Bondar	 T.	 #	 Medzhitov	 R.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Delaloy	 C.	 #	 Liu	 L.	 #	 Lee	 J.-A.	 #	 Su	 H.	 #	 Shen	 F.	 #	 Yang	 G.-Y.	 #	 Young	 W.L.	 #	 Ivey	 K.N.	 #	 Gao	 F.-B.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Fasano	 C.A.	 #	 Chambers	 S.M.	 #	 Lee	 G.	 #	 Tomishima	 M.J.	 #	 Studer	 L.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Monk	 A.C.	 #	 Siddall	 N.A.	 #	 Volk	 T.	 #	 Fraser	 B.	 #	 Quinn	 L.M.	 #	 McLaughlin	 E.A.	 #	 Hime	 G.R.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Franco	 C.B.	 #	 Chen	 C.-C.	 #	 Drukker	 M.	 #	 Weissman	 I.L.	 #	 Galli	 S.J.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Barnabé-Heider	 F.	 #	 Göritz	 C.	 #	 Sabelström	 H.	 #	 Takebayashi	 H.	 #	 Pfrieger	 F.W.	 #	 Meletis	 K.	 #	 Frisén	 J.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Pardo	 M.	 #	 Lang	 B.	 #	 Yu	 L.	 #	 Prosser	 H.	 #	 Bradley	 A.	 #	 Babu	 M.M.	 #	 Choudhary	 J.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Urbach	 A.	 #	 Bar-Nur	 O.	 #	 Daley	 G.Q.	 #	 Benvenisty	 N.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Lathia	 J.D.	 #	 Gallagher	 J.	 #	 Heddleston	 J.M.	 #	 Wang	 J.	 #	 Eyler	 C.E.	 #	 MacSwords	 J.	 #	 Wu	 Q.	 #	 Vasanji	 A.	 #	 McLendon	 R.E.	 #	 Hjelmeland	 A.B.	 #	 Rich	 J.N.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Liu	 C.	 #	 Teng	 Z.-Q.	 #	 Santistevan	 N.J.	 #	 Szulwach	 K.E.	 #	 Guo	 W.	 #	 Jin	 P.	 #	 Zhao	 X.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Lugert	 S.	 #	 Basak	 O.	 #	 Knuckles	 P.	 #	 Haussler	 U.	 #	 Fabel	 K.	 #	 Götz	 M.	 #	 Haas	 C.A.	 #	 Kempermann	 G.	 #	 Taylor	 V.	 #	 Giachino	 C.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Golding	 M.C.	 #	 Zhang	 L.	 #	 Mann	 M.R.W.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Tang	 F.	 #	 Barbacioru	 C.	 #	 Bao	 S.	 #	 Lee	 C.	 #	 Nordman	 E.	 #	 Wang	 X.	 #	 Lao	 K.	 #	 Surani	 M.A.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Hawkins	 R.D.	 #	 Hon	 G.C.	 #	 Lee	 L.K.	 #	 Ngo	 Q.	 #	 Lister	 R.	 #	 Pelizzola	 M.	 #	 Edsall	 L.E.	 #	 Kuan	 S.	 #	 Luu	 Y.	 #	 Klugman	 S.	 #	 Antosiewicz-Bourget	 J.	 #	 Ye	 Z.	 #	 Espinoza	 C.	 #	 Agarwahl	 S.	 #	 Shen	 L.	 #	 Ruotti	 V.	 #	 Wang	 W.	 #	 Stewart	 R.	 #	 Thomson	 J.A.	 #	 Ecker	 J.R.	 #	 Ren	 B.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Buecker	 C.	 #	 Chen	 H.-H.	 #	 Polo	 J.M.	 #	 Daheron	 L.	 #	 Bu	 L.	 #	 Barakat	 T.S.	 #	 Okwieka	 P.	 #	 Porter	 A.	 #	 Gribnau	 J.	 #	 Hochedlinger	 K.	 #	 Geijsen	 N.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Pereira	 C.F.	 #	 Piccolo	 F.M.	 #	 Tsubouchi	 T.	 #	 Sauer	 S.	 #	 Ryan	 N.K.	 #	 Bruno	 L.	 #	 Landeira	 D.	 #	 Santos	 J.	 #	 Banito	 A.	 #	 Gil	 J.	 #	 Koseki	 H.	 #	 Merkenschlager	 M.	 #	 Fisher	 A.G.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Cherry	 C.M.	 #	 Matunis	 E.L.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Zeng	 Y.A.	 #	 Nusse	 R.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Zawadzka	 M.	 #	 Rivers	 L.E.	 #	 Fancy	 S.P.J.	 #	 Zhao	 C.	 #	 Tripathi	 R.	 #	 Jamen	 F.	 #	 Young	 K.	 #	 Goncharevich	 A.	 #	 Pohl	 H.	 #	 Rizzi	 M.	 #	 Rowitch	 D.H.	 #	 Kessaris	 N.	 #	 Suter	 U.	 #	 Richardson	 W.D.	 #	 Franklin	 R.J.M.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Aiden	 A.P.	 #	 Rivera	 M.N.	 #	 Rheinbay	 E.	 #	 Ku	 M.	 #	 Coffman	 E.J.	 #	 Truong	 T.T.	 #	 Vargas	 S.O.	 #	 Lander	 E.S.	 #	 Haber	 D.A.	 #	 Bernstein	 B.E.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Pang	 R.	 #	 Law	 W.L.	 #	 Chu	 A.C.Y.	 #	 Poon	 J.T.	 #	 Lam	 C.S.C.	 #	 Chow	 A.K.M.	 #	 Ng	 L.	 #	 Cheung	 L.W.H.	 #	 Lan	 X.R.	 #	 Lan	 H.Y.	 #	 Tan	 V.P.Y.	 #	 Yau	 T.C.	 #	 Poon	 R.T.	 #	 Wong	 B.C.Y.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Seki	 T.	 #	 Yuasa	 S.	 #	 Oda	 M.	 #	 Egashira	 T.	 #	 Yae	 K.	 #	 Kusumoto	 D.	 #	 Nakata	 H.	 #	 Tohyama	 S.	 #	 Hashimoto	 H.	 #	 Kodaira	 M.	 #	 Okada	 Y.	 #	 Seimiya	 H.	 #	 Fusaki	 N.	 #	 Hasegawa	 M.	 #	 Fukuda	 K.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Loh	 Y.-H.	 #	 Hartung	 O.	 #	 Li	 H.	 #	 Guo	 C.	 #	 Sahalie	 J.M.	 #	 Manos	 P.D.	 #	 Urbach	 A.	 #	 Heffner	 G.C.	 #	 Grskovic	 M.	 #	 Vigneault	 F.	 #	 William Lensch	 M.	 #	 Park	 I.-H.	 #	 Agarwal	 S.	 #	 Church	 G.M.	 #	 Collins	 J.J.	 #	 Irion	 S.	 #	 Daley	 G.Q.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Staerk	 J.	 #	 Dawlaty	 M.M.	 #	 Gao	 Q.	 #	 Maetzel	 D.	 #	 Hanna	 J.	 #	 Sommer	 C.A.	 #	 Mostoslavsky	 G.	 #	 Jaenisch	 R.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Li	 R.	 #	 Liang	 J.	 #	 Ni	 S.	 #	 Zhou	 T.	 #	 Qing	 X.	 #	 Li	 H.	 #	 He	 W.	 #	 Chen	 J.	 #	 Li	 F.	 #	 Zhuang	 Q.	 #	 Qin	 B.	 #	 Xu	 J.	 #	 Li	 W.	 #	 Yang	 J.	 #	 Gan	 Y.	 #	 Qin	 D.	 #	 Feng	 S.	 #	 Song	 H.	 #	 Yang	 D.	 #	 Zhang	 B.	 #	 Zeng	 L.	 #	 Lai	 L.	 #	 Esteban	 M.A.	 #	 Pei	 D.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Samavarchi-Tehrani	 P.	 #	 Golipour	 A.	 #	 David	 L.	 #	 Sung	 H.-K.	 #	 Beyer	 T.A.	 #	 Datti	 A.	 #	 Woltjen	 K.	 #	 Nagy	 A.	 #	 Wrana	 J.L.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Mira	 H.	 #	 Andreu	 Z.	 #	 Suh	 H.	 #	 Chichung Lie	 D.	 #	 Jessberger	 S.	 #	 Consiglio	 A.	 #	 Emeterio	 J.S.	 #	 Hortigüela	 R.	 #	 Marqués-Torrejón	 M.A.	 #	 Nakashima	 K.	 #	 Colak	 D.	 #	 Götz	 M.	 #	 Fariñas	 I.	 #	 Gage	 F.H.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Zhang	 X.	 #	 Huang	 C.T.	 #	 Chen	 J.	 #	 Pankratz	 M.T.	 #	 Xi	 J.	 #	 Li	 J.	 #	 Yang	 Y.	 #	 LaVaute	 T.M.	 #	 Li	 X.-J.	 #	 Ayala	 M.	 #	 Bondarenko	 G.I.	 #	 Du	 Z.-W.	 #	 Jin	 Y.	 #	 Golos	 T.G.	 #	 Zhang	 S.-C.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Hope	 K.J.	 #	 Cellot	 S.	 #	 Ting	 S.B.	 #	 MacRae	 T.	 #	 Mayotte	 N.	 #	 Iscove	 N.N.	 #	 Sauvageau	 G.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Liber	 D.	 #	 Domaschenz	 R.	 #	 Holmqvist	 P.-H.	 #	 Mazzarella	 L.	 #	 Georgiou	 A.	 #	 Leleu	 M.	 #	 Fisher	 A.G.	 #	 Labosky	 P.A.	 #	 Dillon	 N.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Curtis	 S.J.	 #	 Sinkevicius	 K.W.	 #	 Li	 D.	 #	 Lau	 A.N.	 #	 Roach	 R.R.	 #	 Zamponi	 R.	 #	 Woolfenden	 A.E.	 #	 Kirsch	 D.G.	 #	 Wong	 K.-K.	 #	 Kim	 C.F.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Kokovay	 E.	 #	 Goderie	 S.	 #	 Wang	 Y.	 #	 Lotz	 S.	 #	 Lin	 G.	 #	 Sun	 Y.	 #	 Roysam	 B.	 #	 Shen	 Q.	 #	 Temple	 S.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Mohrin	 M.	 #	 Bourke	 E.	 #	 Alexander	 D.	 #	 Warr	 M.R.	 #	 Barry-Holson	 K.	 #	 Le Beau	 M.M.	 #	 Morrison	 C.G.	 #	 Passegué	 E.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Milyavsky	 M.	 #	 Gan	 O.I.	 #	 Trottier	 M.	 #	 Komosa	 M.	 #	 Tabach	 O.	 #	 Notta	 F.	 #	 Lechman	 E.	 #	 Hermans	 K.G.	 #	 Eppert	 K.	 #	 Konovalova	 Z.	 #	 Ornatsky	 O.	 #	 Domany	 E.	 #	 Meyn	 M.S.	 #	 Dick	 J.E.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Pajcini	 K.V.	 #	 Corbel	 S.Y.	 #	 Sage	 J.	 #	 Pomerantz	 J.H.	 #	 Blau	 H.M.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Klein	 A.M.	 #	 Nakagawa	 T.	 #	 Ichikawa	 R.	 #	 Yoshida	 S.	 #	 Simons	 B.D.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
